Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
39920.000,184.795,173.688,172.049,195.653,-49.365,-28.423,-34.109,-50.846
39975.000,186.130,176.899,174.896,196.707,-56.275,-34.090,-39.540,-59.141
40030.000,186.164,178.824,176.675,196.726,-62.581,-39.245,-44.392,-65.607
40085.000,187.509,181.021,178.316,196.724,-69.865,-45.447,-51.264,-73.934
40140.000,187.024,182.412,179.152,195.734,-76.736,-51.031,-56.248,-80.132
40195.000,185.755,183.529,179.997,194.521,-84.168,-57.625,-63.501,-88.426
40250.000,184.328,184.157,179.880,192.535,-90.185,-63.349,-68.860,-94.707
40305.000,181.675,184.343,179.222,189.440,-96.017,-70.421,-75.757,-102.144
40360.000,179.510,184.015,178.186,186.269,-102.800,-76.316,-81.511,-108.170
40415.000,175.442,183.069,176.267,181.850,-108.563,-83.314,-88.003,-114.208
40470.000,173.174,181.831,174.572,178.028,-114.156,-89.088,-93.185,-119.251
40525.000,168.153,179.678,171.645,173.714,-119.069,-95.727,-99.198,-124.701
40580.000,164.885,177.512,169.098,169.449,-124.158,-101.580,-104.153,-128.750
40635.000,159.999,174.366,165.476,164.232,-128.792,-107.729,-109.268,-133.273
40690.000,155.471,171.355,162.625,159.804,-132.076,-112.609,-113.565,-136.929
40745.000,150.145,167.332,158.420,154.490,-135.672,-118.297,-118.279,-140.577
40800.000,145.937,163.879,154.988,149.947,-138.362,-122.767,-121.520,-143.208
40855.000,140.474,159.149,150.217,144.245,-141.571,-127.822,-125.661,-146.460
40910.000,136.471,155.025,146.724,139.557,-143.523,-131.572,-128.164,-148.340
40965.000,131.147,150.037,142.044,133.821,-145.202,-135.435,-131.521,-150.251
41020.000,126.779,145.755,138.135,129.345,-146.953,-138.426,-133.513,-151.688
41075.000,121.703,140.187,133.374,123.539,-148.060,-141.334,-136.000,-152.827
41130.000,117.603,135.701,129.459,119.315,-148.882,-143.601,-137.416,-153.391
41185.000,112.667,130.384,124.911,113.902,-149.652,-145.634,-139.065,-153.852
41240.000,108.453,125.911,121.354,109.866,-150.142,-147.305,-140.478,-153.903
41295.000,103.970,120.626,116.861,105.117,-150.328,-148.478,-141.227,-153.838
41350.000,100.274,116.340,113.236,101.414,-150.229,-149.552,-141.988,-153.782
41405.000,96.113,111.120,109.010,96.817,-150.266,-150.115,-142.959,-153.176
41460.000,92.500,107.059,105.836,93.674,-150.084,-150.472,-143.150,-152.552
41515.000,88.359,102.197,101.496,89.602,-149.548,-150.824,-143.868,-151.880
41570.000,85.356,98.502,98.761,86.417,-149.141,-150.412,-143.966,-151.016
41625.000,81.458,94.046,94.756,83.026,-148.220,-150.322,-144.070,-150.375
41680.000,78.513,90.692,91.360,80.192,-147.533,-149.897,-143.898,-149.444
41735.000,75.145,86.533,88.085,77.115,-146.495,-149.257,-143.750,-148.578
41790.000,72.355,83.203,85.052,74.451,-145.502,-148.749,-143.293,-147.568
41845.000,69.329,79.632,81.474,71.312,-144.370,-147.635,-143.068,-146.637
41900.000,66.718,76.609,78.974,68.866,-143.535,-146.777,-142.647,-145.671
41955.000,64.042,73.214,75.703,66.251,-142.086,-145.793,-141.925,-144.531
42010.000,61.911,70.695,73.318,63.850,-141.010,-144.655,-141.187,-143.409
42065.000,59.400,67.635,70.107,61.359,-139.685,-143.583,-140.172,-142.311
42120.000,57.258,65.368,67.982,59.276,-138.741,-142.479,-139.583,-141.108
