Frequency,R_Quad1,R_Quad2,R_Quad3,R_Quad4,X_Quad1,X_Quad2,X_Quad3,X_Quad4
89290.000,192.779,183.962,183.666,182.462,168.182,173.506,171.669,173.897
89600.000,204.612,195.378,194.442,193.304,170.574,176.832,173.441,176.075
89910.000,217.301,207.219,205.048,203.987,172.238,178.759,174.952,177.541
90220.000,229.819,219.430,215.726,214.577,173.120,180.067,175.889,178.670
90530.000,242.509,231.438,226.116,225.241,172.689,180.983,176.323,179.655
90840.000,255.525,243.445,236.792,235.961,172.184,180.618,176.960,180.414
91150.000,268.574,255.602,247.871,247.014,170.490,180.831,177.303,181.170
91460.000,281.117,268.041,259.362,258.455,168.861,180.273,178.005,181.850
91770.000,294.473,280.481,271.484,270.512,166.382,179.244,178.181,182.537
92080.000,308.757,293.991,284.276,283.641,163.876,178.295,178.236,183.004
92390.000,323.201,308.209,298.095,297.471,160.585,176.939,177.828,182.898
92700.000,338.552,323.366,313.027,312.329,156.733,174.945,177.015,182.407
93010.000,354.712,339.292,328.850,328.325,151.703,172.352,175.300,181.333
93320.000,371.780,356.591,345.731,345.552,145.371,168.107,172.269,179.129
93630.000,389.869,374.607,364.034,364.001,137.258,162.957,168.207,175.653
93940.000,408.408,393.652,383.231,383.394,127.116,155.743,162.365,170.449
94250.000,426.772,412.866,402.898,404.025,114.672,146.529,154.399,163.540
94560.000,446.081,433.626,423.997,425.888,99.971,135.030,144.182,153.988
94870.000,464.522,454.124,444.869,448.185,82.025,121.016,131.768,142.440
95180.000,482.106,473.995,466.616,470.761,61.374,104.548,116.150,127.008
95490.000,498.204,494.474,487.538,492.966,37.681,84.549,97.722,108.773
95800.000,511.973,512.719,507.718,514.717,11.586,61.597,75.702,87.165
96110.000,523.624,529.838,526.508,535.297,-17.913,35.168,50.118,61.617
96420.000,530.946,544.369,543.196,553.810,-49.520,5.485,21.181,32.337
96730.000,535.174,556.057,557.045,569.323,-82.200,-27.095,-11.193,-0.749
97040.000,534.805,562.983,567.103,581.260,-117.003,-63.524,-46.574,-37.112
97350.000,531.111,566.363,572.631,588.389,-150.867,-100.320,-84.291,-76.140
97660.000,522.067,564.585,573.080,590.387,-184.640,-138.108,-123.271,-117.088
97970.000,508.657,557.626,568.288,586.564,-217.487,-176.008,-163.140,-158.881
98280.000,491.205,545.502,557.407,576.680,-247.041,-212.986,-202.612,-200.629
98590.000,469.769,528.451,541.099,560.466,-274.831,-248.188,-240.303,-240.631
98900.000,446.323,506.526,519.354,538.542,-299.183,-280.513,-275.243,-277.913
99210.000,420.608,480.816,492.958,511.827,-319.597,-309.148,-306.371,-311.254
99520.000,393.391,452.644,462.979,480.432,-336.023,-333.227,-332.450,-339.296
99830.000,365.209,421.266,430.369,446.380,-348.407,-352.931,-353.153,-362.088
100140.000,340.270,393.625,400.940,415.434,-355.810,-365.763,-366.456,-376.361
100450.000,304.753,351.862,357.713,370.185,-362.139,-377.267,-378.331,-389.624
100760.000,279.332,321.862,326.926,337.727,-363.121,-381.551,-381.711,-393.356
101070.000,255.469,293.856,298.315,307.585,-361.265,-382.010,-381.373,-393.049
101380.000,234.128,268.068,272.436,280.338,-357.302,-379.327,-377.924,-389.777
101690.000,214.402,244.510,249.536,256.128,-351.645,-374.234,-372.842,-384.291
102000.000,197.128,224.055,229.131,234.806,-345.373,-367.782,-366.287,-377.575
