Transect,Waypoint,Latitude,Longitude,Type,Region,Depth
62,062.2C,36.063251,-122.542819,Compulsory,Central CA,-3244.23583984375
63,063.1C,36.547335,-121.941092,Compulsory,Central CA,-71.40177917480469
63,063.2C,36.269548,-122.523545,Compulsory,Central CA,-2064.234130859375
64,064.1C,36.811971,-121.798072,Compulsory,Central CA,-6.4979681968688965
64,064.2C,36.487954,-122.478632,Compulsory,Central CA,-2499.124267578125
65,065.1C,36.956845,-121.906394,Compulsory,Central CA,-10.120917320251465
65,065.2C,36.619066,-122.617092,Compulsory,Central CA,-2593.912841796875
66,066.1C,37.008004,-122.212472,Compulsory,Central CA,-14.988994598388672
66,066.2C,36.711963,-122.836441,Compulsory,Central CA,-2773.9814453125
67,067.1C,37.136188,-122.356848,Compulsory,Central CA,-13.475543975830078
67,067.2C,36.837147,-122.988245,Compulsory,Central CA,-2873.71826171875
68,068.1C,37.305142,-122.415355,Compulsory,Central CA,10.262303352355957
68,068.2C,36.986343,-123.089654,Compulsory,Central CA,-2564.73828125
69,069.1C,37.467949,-122.486871,Compulsory,Central CA,-29.056482315063477
69,069.2C,37.134712,-123.19303,Compulsory,Central CA,-2133.076416015625
70,070.1C,37.656073,-122.504906,Compulsory,Central CA,-14.805974006652832
70,070.2C,37.264534,-123.336001,Compulsory,Central CA,-1981.6363525390625
71,071.1C,37.795609,-122.62615,Compulsory,Central CA,-12.032325744628906
71,071.2C,37.42667,-123.410623,Compulsory,Central CA,-1941.81591796875
72,072.1C,37.926373,-122.76627,Compulsory,Central CA,-15.630151748657227
72,072.2C,37.607385,-123.445792,Compulsory,Central CA,-2568.311767578125
73,073.1C,38.005539,-123.016767,Compulsory,Central CA,41.744049072265625
73,073.2C,37.769324,-123.521011,Compulsory,Central CA,-2568.219482421875
74,074.1C,38.214924,-122.989899,Compulsory,Central CA,-32.43266677856445
74,074.2C,37.917677,-123.6254,Compulsory,Central CA,-2643.67138671875
75,075.1C,38.366874,-123.085659,Compulsory,Central CA,-6.357597827911377
75,075.2C,38.055813,-123.751904,Compulsory,Central CA,-2975.933837890625
76,076.1C,38.494536,-123.233734,Compulsory,Central CA,-23.504194259643555
76,076.2C,38.1883,-123.890843,Compulsory,Central CA,-3447.33349609375
77,077.1C,38.61917,-123.388708,Compulsory,Central CA,-64.8822250366211
77,077.2C,38.317188,-124.03788,Compulsory,Central CA,-3461.644287109375
78,078.1C,38.748687,-123.533582,Compulsory,Central CA,-22.753543853759766
78,078.2C,38.444573,-124.188544,Compulsory,Central CA,-3567.09033203125
79,079.1C,38.872408,-123.6916,Compulsory,Central CA,-51.360721588134766
79,079.2C,38.596539,-124.286579,Compulsory,Central CA,-3301.560791015625
80,080.1C,39.061072,-123.709154,Compulsory,Central CA,-23.553987503051758
80,080.2C,38.758162,-124.363949,Compulsory,Central CA,-3358.30712890625
81,081.1C,39.222636,-123.785573,Compulsory,Central CA,10.678611755371094
81,081.2C,38.927881,-124.423924,Compulsory,Central CA,-3395.965087890625
82,082.1C,39.400261,-123.827251,Compulsory,Central CA,-8.662432670593262
82,082.2C,39.099887,-124.479005,Compulsory,Central CA,-3320.542724609375
83,083.1C,39.612777,-123.793088,Compulsory,Central CA,-6.818731784820557
83,083.2C,39.286269,-124.502885,Compulsory,Central CA,-2496.994873046875
84,084.1C,39.784262,-123.848002,Compulsory,Central CA,45.4720573425293
84,084.2C,39.474606,-124.522442,Compulsory,Central CA,-2557.927490234375
85,085.1C,39.925505,-123.968956,Compulsory,Central CA,26.13605499267578
85,085.2C,39.591831,-124.697093,Compulsory,Central CA,-2517.965576171875
86,086.1C,40.066385,-124.091002,Compulsory,Central CA,4.850697040557861
86,086.2C,39.70249,-124.886608,Compulsory,Central CA,-1866.668701171875
87,087.1C,40.179899,-124.2733,Compulsory,Central CA,3.472623348236084
87,087.2C,39.835189,-125.028409,Compulsory,Central CA,-1942.4808349609375
88,088.1C,40.330871,-124.373922,Compulsory,Central CA,-25.809795379638672
88,088.2C,39.971269,-125.163174,Compulsory,Central CA,-1871.4278564453125
89,089.1C,40.508966,-124.415103,Compulsory,Central CA,-25.64519500732422
89,089.2C,40.137151,-125.232763,Compulsory,Central CA,-1583.534912109375
90,090.1C,40.525566,-124.40571,Compulsory,Central CA,-18.050189971923828
90,090.2C,40.524074,-125.214739,Compulsory,Central CA,-2725.415283203125
91,091.1C,40.691164,-124.288316,Compulsory,Central CA,11.691765785217285
