FID_1,long,lat
393,-127.927272727273,50.1266139657444
394,-127.927786207192,50.1258325832583
395,-127.928437843784,50.1248409623571
396,-127.929014091885,50.123964063073
397,-127.929602960296,50.1230679589698
398,-127.930241976579,50.1220955428876
399,-127.930768076808,50.1212949555825
400,-127.931469861272,50.1202270227023
401,-127.931933193319,50.1195219521952
402,-127.932697745965,50.1183585025169
403,-127.933098309831,50.1177244043415
404,-127.933586066274,50.1164899823316
405,-127.933098309831,50.1151903285567
406,-127.932902470575,50.1146214621462
407,-127.932259209528,50.1127529419609
408,-127.931933193319,50.111805942499
409,-127.93161594848,50.1108844217755
410,-127.930972687433,50.1090159015902
411,-127.930768076808,50.1084215564414
412,-127.930329426385,50.1071473814048
413,-127.929686165338,50.1052788612195
414,-127.929602960296,50.1051031084636
415,-127.928437843784,50.1039559812444
416,-127.927272727273,50.103618272275
417,-127.92634396773,50.1034103410341
418,-127.926107610761,50.1033574252948
419,-127.924942494249,50.1030965783145
420,-127.923777377738,50.1028357313343
421,-127.922612261226,50.1025748843541
422,-127.921447144714,50.1023140373739
423,-127.920282028203,50.1020531903937
424,-127.919116911691,50.1017923434134
425,-127.917997910902,50.1015418208488
426,-127.91795179518,50.1015326669505
427,-127.916786678668,50.1012978214954
428,-127.915621562156,50.1004083330871
429,-127.914456445645,50.1003140407852
430,-127.913291329133,50.1003801977178
431,-127.912126212621,50.1004463546505
432,-127.91096109611,50.1005125115831
433,-127.909795979598,50.1005786685158
434,-127.908630863086,50.1006448254485
435,-127.907465746575,50.1007109823811
436,-127.906300630063,50.1007771393138
437,-127.905135513551,50.1008432962465
438,-127.90397039704,50.1009094531791
439,-127.902805280528,50.1009756101118
440,-127.901640164016,50.1010417670444
441,-127.900475047505,50.101107923977096
442,-127.899309930993,50.1008599278541
443,-127.898144814481,50.1003726347065
444,-127.89697969797,50.0998659405472
445,-127.896536732711,50.0996733006634
446,-127.895814581458,50.0990364945585
